category,fixed,dynamic
present,present,bow
martini,martini,olive
lipstick,lipstick_cover,lipstick
ladybug,ladybug,ladybug_shell
superman,superman,cape
strawberry,strawberry,leaves
hot_air_balloon,hot_air_balloon_body,hot_air_balloon
snail,snail,snail_shell
birthday_cake,cake,candle
target,target,arrow
pineapple_house,pineapple_house,pineapple_leaves
toast,toast_bottom,toast
toast,toast_with_cheese,toast
church,church,cross
nigiri,rice,salmon
letter,letter,stamp
police_car,police_car,sirene
telephone,telephone,reciever
hotdog,bun,hotdog
sundae,sundae,cherry
pot,pot,lid
harry_potter,harry_potter,broom
man_with_a_hat,man,hat
the_queen_of_hearts,queen,crown
parrot,stand,parrot
icecream,cone,ice_cream
house,house,door
rooster,rooster,rooster_comb
hamburger,burger,bun
cocktail_umbrella,cocktail,umbrella
toothbrush,toothbrush,toothpaste
christmas_tree,tree,star
blender,blender,blender_tank
ramen,ramen,chopsticks
pinocchio,pinocchio,hat
teddy_bear,teddy_bear,bowtie
judges_gavel,judges_gavel_base,judges_gavel
raya,raya,hat
necklace,stand,necklace
coffee_cup_with_plate,plate,coffee_cup
sunflower,stalk,sunflower
hanger,hanger,hat
